name, g, bp-rp, mem
598606634474222848, 18.623,  1.874, N
598626739215668864, 19.711,  1.690, N
598654428870315904, 18.337,  1.021, N
598591481829331456, 18.802,  2.160, N
598851928646467456, 19.439,  2.347, N
598851516329593472, 17.173,  1.100, N
598612170687382400, 17.021,  1.081, N
598655738835562496, 19.283,  1.070, N
598642093724224512, 18.563,  1.824, N
598655532677136256, 12.297,  1.266, N
598851756847765504, 18.926,  0.675, N
598621752759187712, 18.940,  0.955, N
598654738107969408, 17.658,  0.788, N
598613201479534720, 15.080,  1.223, N
598590180454732416, 13.683,  0.919, N
598691159435410304, 19.100,  0.825, N
598606466970805632, 14.986,  0.976, N
598694939003102336, 17.844,  1.670, N
598845881332490624, 18.015,  0.851, N
598851829862515840, 12.491,  0.995, N
598869834365426048, 14.473,  0.796, N
598854436907402752, 18.304,  1.227, N
598654772468105472, 19.520,  2.932, N
598868391256400512, 15.319,  1.310, N
598848531327630976, 13.210,  1.125, N
598608318101433344, 17.042,  1.227, N
598673949496787712, 18.285,  1.183, N
598656456094946304, 17.677,  0.759, N
598613888674186112, 15.353,  0.743, N
598693397108754944, 14.522,  0.846, N
598691090711319680, 18.115,  1.880, N
598674391878434560, 16.213,  1.333, N
598688307572511488, 17.748,  1.410, N
598677591629069312, 17.943,  1.040, N
598847736758365184, 17.491,  1.934, N
598669173493218432, 13.733,  0.706, N
598626533057837184, 17.120,  0.969, N
598845915692227200, 17.424,  0.867, N
598669173493215616, 17.039,  1.507, N
598693225310071040, 18.104,  2.000, N
598668726816617216, 19.818,  1.541, N
598865775621053184, 19.384,  0.679, N
598854058950266624, 19.479,  1.980, N
598863026841982848, 18.022,  1.860, N
598673910842092032, 19.320,  1.041, N
598616671812962944, 18.403,  2.163, N
598642132379346688, 18.890,  1.668, N
598688105709056128, 17.257,  1.192, N
598849562119824640, 19.300,  0.589, N
598655910633644544, 17.862,  2.005, N
598669207852950784, 14.743,  0.739, N
598672987424130560, 17.602,  0.785, N
598845778253267456, 19.299,  1.706, N
598856326692953216, 17.671,  1.052, N
598854402547661056, 19.012,  2.775, N
598847569255000960, 16.944,  1.319, N
598844472583208576, 17.934,  1.800, N
598664260050634496, 18.148,  1.568, N
598640483111744768, 15.395,  1.200, N
598661300818084992, 18.397,  1.292, N
598691331229247232, 14.912,  0.997, N
598679786357307136, 17.127,  0.988, N
598677213671969664, 17.125,  0.971, N
598653333653896960, 17.320,  2.313, N
598840933530144768, 16.664,  0.825, N
598690334796834944, 14.946,  1.756, N
598841212702866560, 17.431,  0.893, N
598687448579034368, 19.654,  0.687, N
598665084684327552, 19.752,  2.205, N
598685455714180736, 15.841,  1.169, N
598680370472713856, 14.124,  0.725, N
598687418514308992, 19.327,  1.838, N
598668726816618240, 19.866,  1.438, N
598640036435112576, 13.974,  1.056, N
598675083368158976, 17.930,  1.285, N
598624093516440320, 17.101,  1.778, N
598607630906667136, 17.836,  1.600, N
598844545598003072, 14.309,  0.731, N
598635290495746048, 19.454,  2.315, N
598846366663567360, 19.519,  2.331, N
598648248412631168, 15.895,  0.988, N
598672295934362624, 19.049,  1.564, N
598647698656807040, 14.558,  0.805, N
598693976929340800, 18.336,  2.119, N
598887117313755776, 18.110,  1.123, N
598891068683719936, 15.060,  1.325, N
598960436699958016, 17.834,  1.867, N
598880000552781568, 16.648,  2.465, N
598906393126986368, 16.360,  0.937, N
598954565480083456, 16.753,  0.782, N
598915700320443904, 18.495,  2.009, N
598951056491556864, 19.589,  2.654, N
598972428248656256, 18.264,  0.739, N
598882444389344128, 17.072,  0.881, N
598974730351130368, 19.540,  0.820, N
598954874717728384, 15.526,  1.266, N
598912470505030656, 19.001,  0.736, N
598882135151700352, 12.536,  1.187, N
598885021369701376, 18.955,  0.934, N
598975692423561856, 14.572,  1.074, N
598977036748981504, 17.964,  1.825, N
598978101900870656, 17.463,  1.760, N
