name, g, bp-rp, mem
598890347129151104, 13.242,  0.761, Y
598959513281774208, 19.311,  2.414, Y
598889419416217600, 15.742,  1.180, Y
598954080148819072, 18.277,  2.281, Y
598900753834826880, 18.673,  2.188, Y
604964083721158656, 14.239,  1.025, Y
604921512005266048, 10.202,  1.238, Y
604907660735224704, 18.324,  2.025, Y
604916426764196224, 15.276,  1.050, Y
604924088985646464, 18.168,  2.021, Y
604977071702225280, 13.538,  0.744, Y
604918179110923520, 12.196,  0.341, Y
604915018014971264, 18.229,  2.289, Y
604948862357149184, 13.770,  0.779, Y
604996618102694400, 19.827,  2.168, Y
604930544320911744, 13.579,  0.756, Y
604896566835439872, 14.613,  1.051, Y
604969168962427904, 13.488,  0.824, Y
604914605698086784, 16.089,  1.284, Y
604910482529472256, 19.345,  2.252, Y
604904263416796416, 15.092,  1.008, Y
604917285756844800, 18.401,  1.408, Y
604932124868388224, 18.205,  2.015, Y
604922886394972160, 12.659,  0.746, Y
604892787264194048, 17.656,  1.844, Y
604900449485824256, 18.849,  2.183, Y
604906801741863936, 16.684,  1.827, Y
604980056703710336, 18.881,  2.385, Y
604919927161960448, 16.404,  1.658, Y
604919583564564096, 15.630,  1.150, Y
604949034155646592, 13.323,  0.757, Y
604906290641338752, 19.197,  2.240, Y
604997034710156672, 15.610,  1.130, Y
604920171975748224, 17.427,  1.808, Y
604900651348634240, 17.627,  1.803, Y
604917217038188288, 11.145,  1.234, Y
604903331408222208, 18.504,  2.117, Y
604963259087437184, 17.233,  1.725, Y
604905015035445504, 18.105,  1.969, Y
604913815423941120, 12.737,  0.716, Y
604915013719302784, 18.321,  2.022, Y
604912647193030016, 12.502,  1.109, Y
604944082058063616, 16.328,  1.336, Y
604918140455365888, 14.197,  0.959, Y
604894196013526272, 15.875,  1.403, Y
604930445537379712, 17.571,  1.787, Y
604916083166650752, 17.714,  1.868, Y
604896150222841088, 13.297,  0.735, Y
604914021582551168, 14.479,  0.866, Y
604996927335710080, 18.359,  2.005, Y
604901957018617728, 13.990,  0.798, Y
598696107233137920, 18.482,  2.079, Y
598883131584117760, 15.894,  1.288, Y
598903678707639296, 15.944,  1.232, Y
598902476116795776, 18.835,  2.411, Y
604703465105196416, 17.177,  1.686, Y
604713532508424448, 18.538,  2.061, Y
604736381734433664, 13.675,  0.792, Y
604704770775147520, 10.585,  1.306, Y
604712776594182656, 19.038,  2.165, Y
604708992727391488, 13.396,  0.735, Y
604968103810569856, 13.140,  0.744, Y
604948583183812864, 18.071,  1.996, Y
604994045412975744, 13.998,  0.786, Y
605013145137827072, 18.041,  2.267, Y
605000779921664640, 16.140,  1.315, Y
604910860486613632, 13.886,  0.882, Y
604972360122759296, 15.829,  1.186, Y
604920957953908864, 13.474,  0.734, Y
604893405739514624, 16.568,  1.473, Y
604964354309369728, 17.829,  1.938, Y
604911375882674176, 13.980,  0.901, Y
604923470510326784, 13.442,  0.741, Y
604976418867174528, 17.232,  1.693, Y
605005620348847488, 16.506,  1.437, Y
604910310730777472, 11.253,  0.148, Y
604911410242411136, 13.790,  0.775, Y
604930681760054656, 17.761,  1.873, Y
604920962249663360, 12.784,  1.031, Y
604898113023653888, 17.098,  1.954, Y
604920756091232256, 13.037,  0.761, Y
604898490980772352, 16.633,  1.532, Y
604917663714774912, 17.328,  1.732, Y
604938721938173184, 18.288,  2.249, Y
604922297983905920, 19.219,  2.203, Y
604914223445164416, 13.783,  0.759, Y
604951297602424320, 17.889,  1.927, Y
604903576222014080, 17.086,  1.615, Y
604948965436170112, 12.551,  0.773, Y
604918110391371136, 14.902,  0.963, Y
604915086734257152, 15.241,  1.041, Y
604919725299047424, 16.327,  1.605, Y
604919794018524032, 19.601,  1.853, Y
604951435041382912, 19.115,  2.241, Y
604917388836860416, 12.564,  1.005, Y
604996588033758208, 18.268,  2.011, Y
604899414398028928, 16.114,  1.474, Y
604915705209528320, 14.493,  0.881, Y
604963602684833920, 14.483,  1.028, Y
604950477264649600, 12.659,  0.765, Y
604919239966985984, 12.683,  0.763, Y
605002051231938304, 18.774,  2.249, Y
604947518031910912, 16.180,  1.304, Y
598955115235894784,  9.404,  1.469, Y
598899796057231616, 14.849,  0.946, Y
598887254752714240, 19.344,  2.298, Y
598901788922041728, 15.399,  1.080, Y
604975383780541952, 17.320,  1.743, Y
604977312220363776, 17.486,  1.789, Y
604916873440769152, 11.218,  1.219, Y
604917315826476416, 14.767,  0.925, Y
604970990028536320, 15.087,  1.014, Y
604970990028535936, 15.895,  1.349, Y
604896395036758528, 12.590,  0.757, Y
605000844345896960, 16.383,  1.384, Y
604987826300371712, 19.607,  2.098, Y
604921198472075008, 12.510,  0.862, Y
604971367985645184, 14.585,  0.894, Y
604911547681373184, 13.297,  0.739, Y
604916976519992192, 16.786,  1.534, Y
604976315787962240, 13.834,  0.778, Y
605005379830679040, 18.398,  2.307, Y
604896498115959296, 17.528,  1.786, Y
604917835513456512, 11.032,  0.290, Y
604904332136281856, 12.577,  0.749, Y
604966518966784256, 17.609,  1.855, Y
604910207651567360, 16.269,  1.328, Y
604919480485158784, 10.971,  1.242, Y
604967996435524224, 13.394,  0.744, Y
604902923387005824, 14.028,  0.810, Y
604918213470568576, 10.880,  0.345, Y
604917285757662592, 13.063,  0.756, Y
604916461123940992, 13.985,  0.771, Y
604898113023651328, 18.971,  2.179, Y
604921202767809664, 14.777,  1.014, Y
604918071736056960, 15.455,  1.308, Y
604947865924535808, 15.692,  1.163, Y
604917590699705472, 19.031,  2.180, Y
604918213470564992, 13.320,  0.758, Y
604899006376815488, 17.278,  1.729, Y
604909000764935936, 13.534,  0.754, Y
604919617924301184, 17.989,  1.993, Y
604918316549769600, 13.746,  0.861, Y
604926631606409600, 12.289,  1.172, Y
604903713659968256, 16.751,  0.000, Y
604918316549771264, 12.595,  0.746, Y
604922229264424448, 17.097,  1.670, Y
604949201658390400, 17.789,  1.941, Y
604902167472726784, 12.549,  0.749, Y
605008884523860864, 12.800,  1.028, Y
604906355065249408, 16.968,  1.622, Y
604902133112985728, 19.340,  2.407, Y
604919789722799232, 15.228,  1.207, Y
604970302833797376, 18.201,  1.998, Y
604999401236189696, 16.770,  1.552, Y
604911547681374080, 15.170,  1.016, Y
604949102875106816, 18.211,  2.060, Y
604904808882148864, 19.710,  1.993, Y
604918179110939264, 19.180,  2.192, Y
604922096120852864, 14.620,  0.914, Y
598957790999876736, 14.054,  0.795, Y
598885944787392000, 13.723,  0.758, Y
598885979147130496, 13.112,  0.749, Y
598907522703329280, 17.181,  1.951, Y
598908042394421248, 18.978,  2.282, Y
604895948360165888, 16.266,  1.578, Y
604914945000917376, 16.075,  0.000, Y
604963121648488320, 16.721,  1.592, Y
604921713868728448, 18.022,  1.896, Y
604921512005265664, 12.619,  0.756, Y
604891412874700544, 19.025,  2.410, Y
604963740123794048, 16.251,  1.350, Y
604895364244625920, 14.640,  0.891, Y
604932404042610176, 15.549,  1.113, Y
605014141564219776, 17.970,  2.031, Y
604964496038052352, 15.149,  1.208, Y
604930067580245888, 13.362,  0.745, Y
604921164112524800, 18.388,  2.050, Y
604922164840316672, 10.219,  1.250, Y
604989406848278016, 18.177,  1.974, Y
604917629355040896, 15.455,  1.143, Y
604918247830308096, 15.037,  1.028, Y
604975315059831168, 16.926,  1.663, Y
604917526275831040, 13.549,  0.770, Y
604916667282344576, 12.602,  0.922, Y
604917659419190656, 16.987,  1.827, Y
604938550139479680, 17.067,  1.651, Y
604904847532342272, 13.642,  0.783, Y
604969748782357760, 15.447,  1.095, Y
604917629355038848, 12.562,  0.742, Y
604971020092675328, 12.645,  0.733, Y
604922057465737472, 17.649,  1.979, Y
604995522881670272, 15.228,  1.029, Y
604931441969782272, 16.283,  1.395, Y
604925085418183296, 17.141,  1.875, Y
604900277687127552, 15.707,  1.288, Y
604943227360042240, 14.365,  0.858, Y
604963362166649856, 16.797,  1.577, Y
604925875692160640, 13.537,  0.738, Y
604929346025748608, 17.153,  1.947, Y
604898246166933504, 17.381,  1.744, Y
604902987810825728, 18.727,  2.260, Y
604923848467470976, 17.406,  1.732, Y
604906771677660544, 14.239,  1.163, Y
604901239759778176, 16.566,  1.456, Y
604966866859978240, 14.633,  0.900, Y
604969954941058944, 15.964,  1.228, Y
605015004853341824, 19.493,  2.276, Y
598953088011334400, 15.547,  1.102, Y
598888727926385408, 17.648,  1.843, Y
598883337742544128, 14.998,  1.003, Y
598955385818884096, 18.826,  2.196, Y
598903128951834496, 17.009,  1.730, Y
598906633645151744, 15.720,  1.144, Y
604701163002747136, 16.583,  1.717, Y
604699445015802624, 13.769,  0.754, Y
604711299125433472, 15.037,  0.964, Y
604964255519855232, 14.035,  0.821, Y
604921305846834816, 16.319,  1.355, Y
604921512005268608, 15.347,  1.061, Y
604977071702226688, 17.676,  1.839, Y
604896635554924672, 15.882,  1.226, Y
604922783315580288, 15.229,  1.043, Y
604923706733209088, 16.433,  1.671, Y
604907355793322112, 16.563,  1.459, Y
604904950611554432, 10.511,  1.111, Y
604896326317278464, 14.508,  0.881, Y
604989441208017920, 14.476,  1.016, Y
604931132732290944, 14.467,  0.863, Y
604897219670462976, 13.787,  0.782, Y
604917934296936704, 11.352,  1.218, Y
604917491916095872, 12.372,  1.014, Y
604918076031623680, 16.133,  1.537, Y
604896876073077504, 16.357,  1.362, Y
604969787437702784, 15.459,  1.299, Y
604916181950394240, 17.279,  1.699, Y
604921374566324992, 13.759,  0.827, Y
604974357282901504, 13.237,  0.726, Y
604920927889929216, 13.500,  0.758, Y
604921202767811712, 13.190,  0.663, Y
604921816947364480, 15.429,  1.257, Y
604904022898639232, 13.084,  0.741, Y
604948346960902016, 12.849,  0.787, Y
604917629355039360, 14.061,  1.079, Y
604920756091231488, 14.141,  0.857, Y
604922847739721856, 18.126,  1.908, Y
604917865577461888, 12.730,  0.711, Y
604908416650519808, 15.853,  1.234, Y
604906290641339776, 13.046,  0.753, Y
604995660320634880, 14.549,  0.886, Y
604921988746029312, 14.846,  0.949, Y
604900690003981312, 13.363,  0.736, Y
604917698074520320, 17.841,  2.025, Y
604926322368772096, 16.389,  1.518, Y
604914944999667328, 13.422,  0.751, Y
605015309794935552,  8.853,  1.645, Y
604903056530306688, 18.203,  2.161, Y
604905947043939072, 13.617,  0.754, Y
604951851654351360, 15.532,  1.120, Y
604946285376553088, 17.194,  1.712, Y
604970096675364352, 15.476,  1.112, Y
604924531366934784, 19.462,  2.238, Y
604998237300962048, 14.015,  0.806, Y
604966866859978752, 15.328,  1.054, Y
