County	Senate_R	Senate_D	Gov_R	Gov_D	LtGov_R	LtGov_D	AG_R	AG_D	area_(mi^2)	pop	Total_Male	Total_Female	Anglo_Total	Anglo_Male	Anglo_Female	Black_Total	Black_Male	Black_Female	Other_Total
Anderson	11315	3287	11710	2849	11092	3330	11023	3294	286	58305	35437	22868	34175	18927	15248	12206	8830	3376	1639
Andrews	3338	776	3400	687	3126	908	3256	752	187	17829	8945	8884	7765	3794	3971	234	121	113	353
Angelina	19153	7123	19689	6401	18113	7692	18751	7065	912	90652	44877	45775	54106	26586	27520	13468	6443	7025	2546
Aransas	6648	2229	7044	1782	6525	2189	6522	2165	1311	25234	12441	12793	17043	8262	8781	265	150	115	991
Archer	3208	376	3259	323	3058	485	3143	393	1071	9123	4521	4602	8099	3999	4100	30	14	16	167
Armstrong	819	74	822	59	744	115	784	78	1052	1904	955	949	1732	874	858	11	7	4	42
Atascosa	7737	4325	8345	3649	7620	4237	7429	4364	3813	49086	24047	25039	16963	8119	8844	252	141	111	645
Austin	8702	2237	8988	1894	8424	2354	8398	2320	865	30565	15043	15522	18323	8815	9508	2891	1426	1465	717
Bailey	1202	405	1239	348	1146	407	1161	385	6193	7159	3647	3512	2409	1166	1243	61	38	23	103
Bandera	7643	1865	7866	1600	7570	1795	7450	1853	902	21897	10827	11070	17246	8477	8769	87	46	41	455
Bastrop	15049	12066	16332	10392	14874	11489	14393	11716	597	85193	43047	42146	43300	21094	22206	6166	3280	2886	2741
Baylor	1070	156	1090	129	986	203	1018	170	932	3761	1828	1933	3136	1540	1596	77	41	36	71
Bee	4341	2809	4827	2259	4096	2765	4090	2767	841	32910	19696	13214	10863	6653	4210	2550	2331	219	523
Bell	47279	38191	50992	33612	47486	36149	46921	36478	871	341417	169398	172019	161915	81212	80703	67765	33645	34120	29692
Bexar	216428	324688	249781	283755	226092	302854	213852	312369	901	1918444	948291	970153	516813	259731	257082	131876	66475	65401	95932
Blanco	4180	1567	4327	1349	4066	1579	4062	1566	1057	11403	5779	5624	8908	4442	4466	62	40	22	235
Borden	320	22	321	17	290	44	301	31	904	658	355	303	554	298	256	0	0	0	7
Bosque	5699	1365	5929	1095	5492	1448	5486	1393	707	18525	9293	9232	14342	7077	7265	293	162	131	413
Bowie	20131	7960	20625	7336	19158	8543	19706	7969	898	96524	49230	47294	60744	30274	30470	24088	12182	11906	4255
Brazoria	65470	45068	70139	39395	65272	43357	64229	43873	1017	351994	176919	175075	166463	83153	83310	46078	23526	22552	32972
Brazos	35724	27642	39141	23189	35460	25731	35595	25367	1072	219920	111780	108140	119433	60383	59050	24417	11845	12572	18114
Brewster	1868	2144	2022	1930	1839	2010	1844	1987	711	9257	4648	4609	4973	2499	2474	80	59	21	274
Briscoe	563	69	556	58	518	86	538	70	912	1404	698	706	947	472	475	36	15	21	24
Brooks	543	1376	658	1198	465	1320	440	1350	254	7175	3593	3582	569	286	283	20	12	8	39
Brown	10386	1669	10635	1457	10061	1873	10272	1694	1223	39080	19479	19601	27892	13725	14167	1395	774	621	1089
Burleson	5077	1425	5252	1275	4936	1526	4979	1477	1273	18171	9003	9168	11630	5658	5972	2188	1063	1125	300
Burnet	13791	4417	14423	3692	13475	4502	13352	4506	801	46447	22762	23685	33878	16263	17615	746	412	334	1003
Caldwell	6131	5212	6706	4496	6163	4949	5941	5051	953	40519	20345	20174	16343	8059	8284	2504	1315	1189	929
Calhoun	4198	1874	4409	1627	4015	1931	3961	1914	989	21698	10915	10783	8960	4481	4479	493	251	242	1309
Callahan	4363	608	4465	484	4204	676	4275	607	875	14147	6626	7521	12268	5652	6616	150	75	75	411
Cameron	28508	48656	34334	41885	28547	45259	26775	46763	924	423998	205892	218106	39360	19929	19431	1340	789	551	4667
Camp	2749	1117	2816	1027	2544	1288	2667	1138	1231	12778	6280	6498	7122	3451	3671	2156	1021	1135	435
Carson	2185	244	2202	207	1822	507	2071	303	546	6098	2984	3114	5316	2601	2715	33	15	18	147
Cass	8130	2013	8305	1880	7681	2429	8011	2103	792	30867	15077	15790	23433	11484	11949	5313	2551	2762	752
Castro	1219	394	1226	371	1010	547	1131	455	775	7594	3899	3695	2588	1332	1256	134	69	65	95
Chambers	12134	2921	12492	2457	11794	3009	11900	2897	836	40863	20470	20393	26960	13322	13638	3256	1655	1601	1131
Cherokee	11621	3200	11933	2932	11294	3443	11419	3279	599	52278	26802	25476	30741	15111	15630	7388	4027	3361	1404
Childress	1525	234	1545	204	1433	293	1475	243	880	6937	4101	2836	4135	2176	1959	658	525	133	166
Clay	3708	547	3805	449	3488	698	3605	579	411	10465	5100	5365	9608	4708	4900	48	25	23	316
Cochran	541	140	550	122	495	169	529	135	1569	3011	1504	1507	1229	619	610	103	44	59	38
Coke	1146	137	1185	116	1046	220	1109	165	920	3245	1597	1648	2548	1240	1308	8	6	2	62
Coleman	2758	351	2773	328	2621	423	2666	388	864	8657	4443	4214	6647	3410	3237	204	97	107	219
Collin	186625	164852	207213	138450	189552	152707	184386	156103	470	959054	469864	489190	545818	268413	277405	89991	41735	48256	155704
Collingsworth	810	113	827	101	735	169	788	121	917	2950	1438	1512	1755	865	890	126	53	73	80
Colorado	3565	1020	3663	896	3510	1034	3455	1041	938	21934	10989	10945	12156	6027	6129	2839	1401	1438	406
Comal	43918	16748	46471	14076	44235	15824	43528	16294	628	134668	66348	68320	94063	46420	47643	2169	1152	1017	3817
Comanche	3799	781	3906	657	3591	937	3676	827	885	13865	6931	6934	9516	4678	4838	27	12	15	216
Concho	800	163	822	145	737	218	781	175	908	4168	2827	1341	1810	915	895	57	50	7	45
Cooke	11868	2545	12284	2049	11590	2597	11538	2569	943	39545	19820	19725	29611	14586	15025	1101	612	489	1393
Coryell	10617	5052	11272	4379	10579	4897	10483	4931	963	75948	37002	38946	44472	21591	22881	10980	5267	5713	6337
Cottle	458	97	478	88	434	104	419	89	1052	1431	702	729	961	464	497	126	60	66	18
Crane	836	213	842	197	725	291	787	235	902	4886	2435	2451	1798	875	923	123	61	62	81
Crockett	927	340	920	333	797	389	841	341	662	3649	1807	1842	1241	613	628	11	7	4	42
Crosby	978	436	1005	391	904	481	928	440	252	5908	2857	3051	2193	1044	1149	169	73	96	67
Culberson	294	521	321	422	260	427	262	423	899	2233	1095	1138	460	235	225	6	3	3	53
Dallam	969	139	984	129	923	162	942	146	909	7193	3801	3392	3696	1918	1778	82	43	39	239
Dallas	240128	478289	282520	422653	248698	451912	239443	458891	3856	2591002	1291873	1299129	703882	347508	356374	576938	269504	307434	206893
Dawson	2240	874	2288	802	2038	996	2178	859	892	13436	7634	5802	4884	2731	2153	833	610	223	244
Deaf_Smith	2677	1065	2785	955	2547	1117	2617	1058	277	19567	9835	9732	5200	2537	2663	155	75	80	226
Delta	1561	354	1605	301	1476	430	1500	386	855	5211	2558	2653	4242	2071	2171	393	181	212	229
Denton	158509	134295	174204	113494	160412	124477	157348	126384	900	805292	396537	408755	465994	229553	236441	72572	34572	38000	91485
DeWitt	4974	1128	5115	942	4786	1203	4824	1157	970	20960	11048	9912	11064	5588	5476	1872	1113	759	449
Dickens	635	113	656	96	596	140	627	122	274	2131	1210	921	1356	704	652	72	64	8	51
Dimmit	839	2041	1041	1787	867	1864	762	1930	901	10459	5117	5342	1324	699	625	78	40	38	96
Donley	1109	411	1129	134	1036	196	1052	190	1175	3463	1753	1710	2898	1483	1415	183	91	92	66
Duval	1328	2765	1477	2456	1074	2686	1040	2688	896	11223	5809	5414	1095	616	479	80	76	4	64
Eastland	5373	796	5430	704	5158	937	5257	818	700	18516	9125	9391	14874	7215	7659	330	197	133	350
Ector	20958	9209	21898	8191	20925	8763	20702	8883	899	159974	79639	80335	57036	28134	28902	6377	3114	3263	4198
Edwards	603	145	634	100	595	116	587	121	528	1876	964	912	841	411	430	8	6	2	16
El_Paso	50288	149457	61963	132353	55815	133930	53061	135689	1013	168716	82982	85734	103220	50152	53068	15403	7443	7960	4575
Ellis	40979	19061	43598	15844	40162	18606	39841	18544	827	841570	410597	430973	95674	51014	44660	21273	12195	9078	20852
Erath	10039	2482	10337	2071	9698	2568	9764	2473	800	41392	20405	20987	30627	14782	15845	512	302	210	1077
Falls	3201	1440	3328	1282	3116	1458	3068	1474	900	17377	8314	9063	8678	4099	4579	4341	1902	2439	390
Fannin	8558	2105	8844	1766	8282	2232	8312	2145	4571	35048	18614	16434	27570	14041	13529	2273	1535	738	1188
Fayette	8218	2192	8566	1772	8006	2241	7890	2245	1160	25524	12665	12859	18019	8850	9169	1658	826	832	379
Fisher	1139	340	1161	310	1027	423	1081	357	2265	3855	1936	1919	2610	1297	1313	125	60	65	51
Floyd	1310	463	1364	399	1181	544	1251	475	1113	5871	2914	2957	2248	1099	1149	194	99	95	51
Foard	321	113	331	101	290	128	298	114	914	1191	576	615	941	454	487	50	18	32	9
Fort_Bend	111190	141846	125599	124879	114205	134867	110737	137223	710	744199	363586	380613	235981	116355	119626	158245	74251	83994	157889
Franklin	3290	639	3350	537	3107	739	3191	652	1387	10757	5505	5252	8340	4242	4098	432	219	213	291
Freestone	5230	1274	5322	1140	4880	1509	5023	1372	1133	20131	10594	9537	13409	6818	6591	3249	1783	1466	332
Frio	1628	2001	1832	1728	1625	1834	1518	1923	786	18822	10990	7832	2901	1558	1343	525	486	39	576
Gaines	3317	513	3305	475	3086	657	3225	539	900	20000	9981	10019	12240	6007	6233	307	154	153	257
Galveston	66436	43858	70807	38236	66323	41908	64787	42799	149	326418	163235	163183	183268	92259	91009	41553	19873	21680	19785
Garza	1068	201	1078	184	993	256	1054	194	888	6389	3998	2391	2855	1603	1252	388	261	127	73
Gillespie	9872	2560	10331	2020	9620	2614	9607	2537	695	26733	12877	13856	20230	9497	10733	85	43	42	382
Glasscock	513	37	515	36	459	75	491	47	198	1286	666	620	840	435	405	14	8	6	7
Goliad	2324	716	2395	616	2182	778	2177	772	3357	7742	3852	3890	4440	2188	2252	322	159	163	107
Gonzales	4171	1421	4391	1170	4137	1364	4042	1414	1068	20557	10486	10071	8394	4156	4238	1375	724	651	304
Gray	5240	613	5323	550	4936	844	5149	653	1044	22683	11927	10756	14277	7181	7096	1045	757	288	621
Grayson	31572	11130	32477	9833	30709	11109	30803	10930	923	126364	61889	64475	94180	45728	48452	7075	3523	3552	6895
Gregg	24457	11027	25439	9915	23513	11464	23937	10986	871	125907	62253	63654	69818	33916	35902	24218	11458	12760	4978
Grimes	6490	2034	6674	1855	6259	2194	6352	2056	1299	27647	15281	12366	16028	8709	7319	4386	2583	1803	629
Guadalupe	33881	20006	36230	17202	34132	18605	33128	19198	802	156046	75836	80210	80906	38613	42293	9743	4916	4827	6281
Hale	5349	1964	5521	1721	4998	2157	5227	1975	900	34932	18135	16797	12004	6139	5865	1746	1086	660	605
Hall	807	161	815	142	743	195	777	164	995	3104	1535	1569	1696	812	884	249	141	108	30
Hamilton	2606	456	2705	365	2486	549	2495	517	849	8686	4342	4344	7495	3705	3790	32	19	13	130
Hansford	1552	138	1548	120	1378	248	1492	149	750	5547	2841	2706	2762	1358	1404	28	16	12	70
Hardeman	973	185	997	154	889	229	919	199	1098	3870	1973	1897	2563	1271	1292	210	112	98	104
Hardin	17373	2634	17510	2325	16853	2798	16882	2629	3171	58206	28725	29481	50166	24684	25482	3433	1622	1811	1325
Harris	498175	698580	558958	627446	508278	674283	494114	683230	909	4565394	2286824	2278570	1301936	652140	649796	819610	385370	434240	406963
Harrison	16190	6205	16706	5530	15555	6536	15828	6197	938	68716	34184	34532	42595	21178	21417	14346	6761	7585	1793
Hartley	1467	153	1491	125	1396	192	1426	169	932	6342	3913	2429	4173	2323	1850	423	418	5	99
Haskell	1360	302	1385	267	1158	497	1277	360	693	5709	3025	2684	3787	1973	1814	207	130	77	135
Hays	33169	45355	37731	39285	33866	42174	32890	42746	1005	201588	99361	102227	109703	53642	56061	6021	3235	2786	7043
Hemphill	1201	156	1190	152	924	368	1092	209	653	4048	2072	1976	2691	1339	1352	5	2	3	57
Henderson	20865	5406	21748	4614	20610	5522	20651	5445	914	81750	40161	41589	63434	30846	32588	4975	2434	2541	2362
Hidalgo	46437	104234	55340	93771	46276	100290	44231	101918	971	855229	419071	436158	62860	31566	31294	3039	1988	1051	11490
Hill	8911	2433	9242	2045	8628	2535	8612	2449	900	35785	17844	17941	25255	12420	12835	2176	1045	1131	878
Hockley	4843	1208	4946	1027	4415	1489	4697	1221	1059	23462	11773	11689	11254	5591	5663	912	452	460	398
Hood	20073	4714	20848	3760	19697	4676	19502	4703	892	56616	27880	28736	48257	23485	24772	247	154	93	1363
Hopkins	9298	2542	9525	2216	8906	2778	8995	2643	1090	36498	18222	18276	26016	12731	13285	2570	1266	1304	1192
Houston	5536	1767	5643	1636	5390	1847	5422	1799	399	23370	12580	10790	14117	7208	6909	6084	3444	2640	533
Howard	5645	1690	5730	1546	5388	1779	5521	1636	874	36192	20437	15755	18593	10041	8552	2228	1610	618	999
Hudspeth	506	404	535	332	463	368	474	348	947	3673	1873	1800	650	357	293	28	22	6	51
