District	number_R	percentage_R	number_D	percentage_D	number_L	percentage_L	number_I	percentage_I	total	anglo	black	hispanic	Black+Hispanic	other	%anglo	%black	%hispanic	%Black+Hispanic	%other
1	43265	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	165823	117338	33327	11467	44320	4165	70.8	20.1	6.9	26.7	2.5
2	45808	80	11421	20	-0.01	-0.01	-0.01	-0.01	173869	135981	12122	21966	33720	4168	78.2	7	12.6	19.4	2.4
3	48562	76	15314	24	-0.01	-0.01	-0.01	-0.01	164955	107092	14867	39782	54068	3795	64.9	9	24.1	32.8	2.3
4	44623	74	14595	24.2	1060	1.8	-0.01	-0.01	168429	124530	16065	24849	40471	3428	73.9	9.5	14.8	24	2
5	44264	79.3	11540	20.7	-0.01	-0.01	-0.01	-0.01	160253	112263	18339	27381	45334	2656	70.1	11.4	17.1	28.3	1.7
6	37056	75.6	-0.01	-0.01	-0.01	-0.01	11929	24.4	160008	95002	32036	29547	61025	3981	59.4	20	18.5	38.1	2.5
7	39446	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	161039	106262	29265	22631	51315	3462	66	18.2	14.1	31.9	2.1
8	36471	78.3	10136	21.7	-0.01	-0.01	-0.01	-0.01	161098	103871	25407	29753	54609	2618	64.5	15.8	18.5	33.9	1.6
9	45844	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	166719	117280	32185	15113	47002	2437	70.3	19.3	9.1	28.2	1.5
10	44601	70.3	17405	27.4	1453	2.3	-0.01	-0.01	163063	109279	15039	36350	50858	2926	67	9.2	22.3	31.2	1.8
11	38694	74.4	13334	25.6	-0.01	-0.01	-0.01	-0.01	168699	106828	29971	29464	58921	2950	63.3	17.8	17.5	34.9	1.7
12	33003	67.6	15828	32.4	-0.01	-0.01	-0.01	-0.01	160573	88576	32705	37508	69273	2724	55.2	20.4	23.4	43.1	1.7
13	48875	79.3	12733	20.7	-0.01	-0.01	-0.01	-0.01	170617	114088	21907	33214	54343	2186	66.9	12.8	19.5	31.9	1.3
14	26663	56.4	20647	43.6	-0.01	-0.01	-0.01	-0.01	163187	91954	20679	39815	59669	11564	56.3	12.7	24.4	36.6	7.1
15	52895	67.2	25843	32.8	-0.01	-0.01	-0.01	-0.01	167349	125304	7849	25412	32783	9262	74.9	4.7	15.2	19.6	5.5
16	49184	80.3	12033	19.7	-0.01	-0.01	-0.01	-0.01	166647	111475	10118	42040	51568	3604	66.9	6.1	25.2	30.9	2.2
17	33462	62.6	20033	37.4	-0.01	-0.01	-0.01	-0.01	163480	84877	14266	62565	75852	2751	51.9	8.7	38.3	46.4	1.7
18	35538	75.5	11514	24.5	-0.01	-0.01	-0.01	-0.01	169888	112196	27308	27871	54646	3046	66	16.1	16.4	32.2	1.8
19	49926	83.2	10070	16.8	-0.01	-0.01	-0.01	-0.01	171969	136189	20529	12250	32580	3200	79.2	11.9	7.1	18.9	1.9
20	57741	71.6	22943	28.4	-0.01	-0.01	-0.01	-0.01	159816	118501	6487	32380	38341	2974	74.1	4.1	20.3	24	1.9
21	46403	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	172180	132731	14676	19107	33446	6003	77.1	8.5	11.1	19.4	3.5
22	-0.01	-0.01	31387	100	-0.01	-0.01	-0.01	-0.01	161930	47667	79997	28558	107564	6699	29.4	49.4	17.6	66.4	4.1
23	32533	56.8	23580	41.1	1218	2.1	-0.01	-0.01	163720	84245	32909	42601	74398	5077	51.5	20.1	26	45.4	3.1
24	47209	69.8	19054	28.2	1384	2	-0.01	-0.01	162685	113174	12463	29304	41223	8288	69.6	7.7	18	25.3	5.1
25	40816	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	174168	95150	21003	54914	74931	4087	54.6	12.1	31.5	43	2.3
26	34432	52.5	31177	47.5	-0.01	-0.01	-0.01	-0.01	160091	70857	19496	26297	45147	44087	44.3	12.2	16.4	28.2	27.5
27	-0.01	-0.01	47305	100	-0.01	-0.01	-0.01	-0.01	160084	33610	70183	34803	103460	23014	21	43.8	21.7	64.6	14.4
28	44306	54.2	37427	45.8	-0.01	-0.01	-0.01	-0.01	160373	74705	24049	35273	58365	27303	46.6	15	22	36.4	17
29	46639	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	175700	88924	23718	45803	68765	18011	50.6	13.5	26.1	39.1	10.3
30	39613	74.7	13404	25.3	-0.01	-0.01	-0.01	-0.01	166022	86864	10124	66176	75302	3856	52.3	6.1	39.9	45.4	2.3
31	-0.01	-0.01	27389	100	-0.01	-0.01	-0.01	-0.01	171858	31309	1897	137900	139269	1280	18.2	1.1	80.2	81	0.7
32	38288	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	167074	69806	8272	83594	90764	6504	41.8	5	50	54.3	3.9
33	54761	65	28885	35	-0.01	-0.01	-0.01	-0.01	172135	120502	13027	26610	39069	12564	70	7.6	15.5	22.7	7.3
34	16045	38.9	25193	61.1	-0.01	-0.01	-0.01	-0.01	173149	42064	7192	122699	128708	2377	24.3	4.2	70.9	74.3	1.4
35	-0.01	-0.01	23315	100	-0.01	-0.01	-0.01	-0.01	168627	18059	1021	149049	149558	1010	10.7	0.6	88.4	88.7	0.6
36	-0.01	-0.01	25934	100	-0.01	-0.01	-0.01	-0.01	168963	10339	1096	156551	157010	1614	6.1	0.6	92.7	92.9	1
37	-0.01	-0.01	20281	100	-0.01	-0.01	-0.01	-0.01	169088	15906	1007	151762	152210	972	9.4	0.6	89.8	90	0.6
38	-0.01	-0.01	24494	100	-0.01	-0.01	-0.01	-0.01	168214	15376	1147	150188	150760	2078	9.1	0.7	89.3	89.6	1.2
39	-0.01	-0.01	25803	100	-0.01	-0.01	-0.01	-0.01	168659	13991	850	153591	153860	808	8.3	0.5	91.1	91.2	0.5
40	-0.01	-0.01	24189	100	-0.01	-0.01	-0.01	-0.01	168662	8009	1691	158204	159328	1325	4.7	1	93.8	94.5	0.8
41	15509	38.5	24752	61.5	-0.01	-0.01	-0.01	-0.01	168776	22300	1613	140608	141669	4807	13.2	1	83.3	83.9	2.8
42	8775	25.7	25383	74.3	-0.01	-0.01	-0.01	-0.01	167668	5689	885	160344	160665	1314	3.4	0.5	95.6	95.8	0.8
43	26453	61.1	16809	38.9	-0.01	-0.01	-0.01	-0.01	169564	53838	5772	107903	112884	2842	31.8	3.4	63.6	66.6	1.7
44	48631	68.7	22183	31.3	-0.01	-0.01	-0.01	-0.01	174451	97272	10595	63301	72854	4325	55.8	6.1	36.3	41.8	2.5
45	40381	48.4	42999	51.6	-0.01	-0.01	-0.01	-0.01	167604	100398	6692	57310	63034	4172	59.9	4	34.2	37.6	2.5
46	8470	15	46498	82.2	1592	2.8	-0.01	-0.01	166410	44557	36822	78546	113344	8509	26.8	22.1	47.2	68.1	5.1
47	49980	47.7	54890	52.3	-0.01	-0.01	-0.01	-0.01	175314	132050	3876	24994	28478	14786	75.3	2.2	14.3	16.2	8.4
