#District num_R  percent_R  num_D  percent_D number_L percentage_L  total anglo  black   hispanic  Black_Hispanic   other    %anglo   %black   %hispanic  %Black+Hispanic   %other
2	152659	59.40	104528	40.60	-1	-1.00	808524	461829	107580	214878	318775	27920	57.1	13.3	26.6	39.4	3.5
3       214756	78.30	56274	20.50	3280	1.20	843567	611890	109262	109091	216526	15151	72.5	13	12.9	25.7	1.8
5	182081	55.40	136232	41.40	10446	3.20	827039	515771	91173	181357	268291	42977	62.4	11	21.9	32.4	5.2
7	177668	57.80	123994	40.30	5866	1.90	809277	419002	107232	212853	314684	75591	51.8	13.3	26.3	38.9	9.3
8	169133	51.20	161324	48.80	-1	-1.00	794900	467666	87018	128633	212472	114762	58.8	10.9	16.2	26.7	14.4
9	132001	54.10	112113	45.90	-1	-1.00	815389	392564	101762	266867	363360	59465	48.1	12.5	32.7	44.6	7.3
10	138695	48.30	148544	51.70	-1	-1.00	834267	396797	160298	240947	396295	41175	47.6	19.2	28.9	47.5	4.9
14	96355	25.30	274122	71.90	10838	2.80	834750	440605	85564	250715	330496	63649	52.8	10.3	30	39.6	7.6
15	75423	32.20	152728	65.20	6226	2.70	793108	220157	195690	339888	528771	44180	27.8	24.7	42.9	66.7	5.6
16	134412	45.90	158216	54.10	-1	-1.00	816670	394103	96103	245400	337557	85010	48.3	11.8	30	41.3	10.4
17	157910	51.50	143465	46.80	5380	1.80	804162	396277	111161	181214	287553	120332	49.3	13.8	22.5	35.8	15
23	-1	-1.00	191215	100.00	-1	-1.00	813699	120437	329002	354325	677130	16132	14.8	40.4	43.5	83.2	2
25	235842	57.70	172628	42.30	-1	-1.00	815771	502936	40955	241286	277832	35003	61.7	5	29.6	34.1	4.3
30	233949	73.90	82449	26.10	-1	-1.00	829574	630151	48285	127148	173037	26386	76	5.8	15.3	20.9	3.2
31	171831	87.50	-1	-1.00	24458	12.50	793600	434738	43059	298529	337725	21137	54.8	5.4	37.6	42.6	2.7
